iter	Passed	Remaining
399	27434	41152
400	27571	41185
401	27690	41191
402	27737	41089
403	27778	40979
404	27818	40868
405	27920	40849
406	28017	40820
407	28107	40783
408	28123	40637
409	28190	40566
410	28218	40439
411	28328	40430
412	28448	40434
413	28541	40399
414	28673	40419
415	28697	40286
416	28797	40261
417	28888	40222
418	28904	40079
419	29006	40057
420	29038	39936
421	29077	39826
422	29109	39706
423	29199	39667
424	29218	39530
425	29308	39490
426	29403	39456
427	29499	39424
428	29601	39399
429	29642	39293
430	29737	39259
431	29807	39190
432	29835	39068
433	29934	39039
434	30031	39006
435	30136	38983
436	30192	38897
437	30283	38856
438	30384	38828
439	30489	38804
440	30513	38678
441	30601	38632
442	30621	38501
443	30635	38363
444	30734	38331
445	30834	38301
446	30931	38265
447	31021	38222
448	31124	38195
449	31226	38165
450	31326	38133
451	31417	38090
452	31433	37955
453	31536	37927
454	31641	37900
455	31765	37895
456	31861	37856
457	31959	37820
458	32055	37781
459	32161	37754
460	32276	37737
461	32309	37623
462	32420	37601
463	32530	37578
464	32559	37460
465	32663	37429
466	32685	37305
467	32790	37274
468	32890	37238
469	32977	37187
470	33012	37077
471	33103	37031
472	33122	36903
473	33160	36798
474	33269	36771
475	33338	36700
476	33437	36662
477	33566	36656
478	33669	36621
479	33796	36612
480	33820	36492
481	33876	36406
482	33990	36383
483	34093	36347
484	34195	36311
485	34302	36279
486	34406	36242
487	34531	36230
488	34631	36189
489	34741	36159
490	34874	36153
491	34891	36026
492	34907	35898
493	35012	35863
494	35130	35839
495	35196	35764
496	35301	35727
497	35418	35702
498	35526	35669
499	35631	35631
500	35735	35592
501	35840	35554
502	35945	35517
503	36033	35461
504	36132	35417
505	36172	35314
506	36289	35287
507	36386	35240
508	36497	35207
509	36600	35165
510	36720	35139
511	36741	35018
512	36829	34963
513	36868	34859
514	36969	34815
515	37067	34769
516	37086	34647
517	37195	34610
518	37311	34579
519	37401	34524
520	37495	34472
521	37603	34434
522	37739	34420
523	37779	34318
524	37877	34270
525	37998	34241
526	38087	34184
527	38206	34154
528	38302	34102
529	38417	34068
530	38523	34025
531	38629	33982
532	38698	33906
533	38796	33855
534	38904	33813
535	39020	33779
536	39116	33725
537	39220	33680
538	39276	33593
539	39380	33545
540	39487	33502
541	39574	33441
542	39676	33392
543	39800	33362
544	39914	33323
545	40093	33338
546	40214	33304
547	40339	33272
548	40461	33239
549	40628	33241
550	40745	33203
551	40846	33150
552	41004	33145
553	41098	33086
554	41200	33034
555	41293	32975
556	41400	32927
557	41496	32869
558	41595	32815
559	41707	32770
560	41813	32720
561	41938	32685
562	42052	32640
563	42172	32601
564	42326	32587
565	42424	32530
566	42553	32496
567	42674	32456
568	42814	32430
569	42937	32391
570	43041	32337
571	43161	32295
572	43271	32245
573	43371	32188
574	43498	32151
575	43603	32096
576	43722	32053
577	43821	31994
578	43928	31941
579	44031	31885
580	44137	31830
581	44249	31780
582	44355	31726
583	44459	31669
584	44561	31611
585	44656	31549
586	44781	31506
587	44902	31462
588	45007	31405
589	45111	31349
590	45220	31294
591	45318	31232
592	45422	31175
593	45532	31121
594	45645	31069
595	45747	31010
596	45857	30955
597	45956	30894
598	46051	30829
599	46148	30765
600	46246	30702
601	46349	30642
602	46495	30611
603	46597	30550
604	46702	30491
605	46812	30435
606	46929	30384
607	47034	30324
608	47148	30271
609	47261	30216
610	47365	30155
611	47462	30090
612	47566	30029
613	47678	29973
614	47780	29911
615	47880	29847
616	47987	29788
617	48087	29724
618	48183	29657
619	48314	29611
620	48414	29547
621	48521	29487
622	48622	29423
623	48734	29365
624	48842	29305
625	48957	29249
626	49076	29195
627	49191	29138
628	49294	29075
629	49394	29009
630	49494	28943
631	49602	28882
632	49712	28822
633	49812	28756
634	49920	28694
635	50035	28636
636	50134	28569
637	50240	28506
638	50348	28444
639	50449	28377
640	50559	28316
641	50665	28252
642	50759	28182
643	50857	28113
644	50962	28049
645	51072	27986
646	51191	27929
647	51295	27864
648	51393	27795
649	51500	27731
650	51604	27664
651	51716	27603
652	51830	27542
653	51945	27481
654	52056	27418
655	52165	27354
656	52271	27289
657	52373	27221
658	52478	27154
659	52585	27089
660	52720	27038
661	52822	26970
662	52937	26908
663	53035	26837
664	53143	26771
665	53248	26704
666	53348	26634
667	53451	26565
668	53570	26505
669	53673	26436
670	53774	26366
671	53899	26307
672	54012	26244
673	54117	26175
674	54254	26122
675	54362	26055
676	54463	25984
677	54599	25930
678	54726	25872
679	54864	25818
680	55022	25774
681	55141	25711
682	55282	25658
683	55392	25590
684	55524	25533
685	55629	25463
686	55733	25392
687	55843	25324
688	55947	25253
689	56071	25191
690	56179	25122
691	56319	25067
692	56457	25010
693	56597	24955
694	56712	24888
695	56871	24840
696	56981	24771
697	57077	24695
698	57191	24627
699	57302	24558
700	57406	24485
701	57525	24419
702	57638	24350
703	57739	24276
704	57861	24211
705	57957	24135
706	58055	24059
707	58173	23992
708	58319	23936
709	58427	23864
710	58535	23792
711	58641	23720
712	58753	23649
713	58846	23571
714	58955	23499
715	59061	23426
716	59169	23354
717	59284	23284
718	59395	23213
719	59499	23138
720	59639	23078
721	59740	23002
722	59837	22925
723	59948	22853
724	60054	22779
725	60152	22702
726	60254	22626
727	60353	22549
728	60455	22474
729	60556	22397
730	60669	22325
731	60785	22254
732	60892	22180
733	61016	22112
734	61126	22038
735	61215	21957
736	61328	21885
737	61428	21807
738	61533	21732
739	61628	21653
740	61736	21578
741	61854	21507
742	61978	21438
743	62082	21361
744	62200	21290
745	62301	21212
746	62419	21140
747	62525	21064
748	62629	20988
749	62746	20915
750	62851	20838
751	62950	20760
752	63050	20681
753	63151	20603
754	63275	20532
755	63391	20459
756	63551	20400
757	63707	20339
758	63827	20266
759	63941	20191
760	64057	20117
761	64164	20040
762	64271	19963
763	64377	19886
764	64498	19813
765	64596	19733
766	64712	19658
767	64822	19581
768	64938	19506
769	65058	19433
770	65192	19363
771	65288	19282
772	65394	19203
773	65506	19127
774	65614	19049
775	65707	18967
776	65804	18885
777	65891	18802
778	65999	18723
779	66153	18658
780	66253	18578
781	66366	18501
782	66485	18425
783	66620	18354
784	66743	18280
785	66877	18208
786	67001	18133
787	67107	18054
788	67223	17977
789	67341	17900
790	67457	17823
791	67557	17742
792	67673	17665
793	67792	17588
794	67937	17518
795	68053	17440
796	68150	17358
797	68240	17273
798	68337	17191
799	68443	17110
800	68572	17036
801	68687	16957
802	68789	16876
803	68915	16800
804	69030	16721
805	69137	16640
806	69243	16560
807	69335	16475
808	69434	16393
809	69556	16315
810	69669	16236
811	69778	16155
812	69881	16073
813	69987	15992
814	70106	15913
815	70237	15837
816	70348	15757
817	70451	15675
818	70577	15597
819	70678	15514
820	70792	15434
821	70899	15353
822	71015	15273
823	71136	15194
824	71271	15118
825	71394	15039
826	71542	14965
827	71677	14889
828	71792	14808
829	71902	14726
830	72011	14644
831	72127	14564
832	72241	14482
833	72348	14400
834	72465	14319
835	72583	14238
836	72707	14159
837	72806	14074
838	72903	13989
839	73004	13905
840	73100	13820
841	73194	13734
842	73294	13650
843	73387	13564
844	73478	13478
845	73584	13394
846	73679	13309
847	73779	13224
848	73877	13139
849	73976	13054
850	74073	12969
851	74174	12884
852	74269	12799
853	74370	12714
854	74477	12630
855	74580	12546
856	74703	12465
857	74802	12379
858	74903	12294
859	74998	12209
860	75102	12124
861	75201	12039
862	75298	11953
863	75407	11869
864	75510	11784
865	75612	11699
866	75712	11614
867	75816	11529
868	75917	11444
869	76019	11359
870	76117	11273
871	76221	11188
872	76323	11103
873	76415	11016
874	76522	10931
875	76626	10846
876	76733	10761
877	76832	10676
878	76935	10590
879	77036	10504
880	77137	10419
881	77254	10335
882	77373	10252
883	77488	10168
884	77598	10083
885	77710	9998
886	77824	9914
887	77922	9828
888	78021	9741
889	78119	9655
890	78225	9569
891	78329	9483
892	78420	9396
893	78526	9310
894	78643	9226
895	78751	9140
896	78848	9053
897	78945	8967
898	79040	8880
899	79147	8794
900	79241	8706
901	79337	8619
902	79436	8533
903	79549	8447
904	79684	8364
905	79797	8279
906	79895	8192
907	80002	8105
908	80097	8018
909	80198	7931
910	80295	7844
911	80395	7757
912	80494	7670
913	80602	7584
914	80706	7497
915	80808	7410
916	80902	7322
917	81008	7236
918	81104	7148
919	81204	7061
920	81303	6973
921	81402	6886
922	81506	6799
923	81622	6713
924	81719	6625
925	81821	6538
926	81919	6451
927	82024	6363
928	82111	6275
929	82229	6189
930	82356	6103
931	82478	6017
932	82622	5933
933	82735	5846
934	82827	5758
935	82939	5671
936	83039	5583
937	83157	5496
938	83267	5409
939	83361	5320
940	83482	5234
941	83609	5147
942	83737	5061
943	83851	4974
944	83953	4886
945	84067	4798
946	84159	4710
947	84287	4623
948	84420	4536
949	84560	4450
950	84698	4364
951	84849	4278
952	84959	4190
953	85047	4100
954	85133	4011
955	85248	3923
956	85373	3836
957	85484	3747
958	85586	3659
959	85689	3570
960	85781	3481
961	85880	3392
962	85972	3303
963	86082	3214
964	86185	3125
965	86290	3037
966	86403	2948
967	86506	2859
968	86602	2770
969	86709	2681
970	86826	2593
971	86923	2503
972	87027	2414
973	87125	2325
974	87241	2236
975	87337	2147
976	87451	2058
977	87564	1969
978	87659	1880
979	87765	1791
980	87874	1701
981	87996	1612
982	88109	1523
983	88234	1434
984	88357	1345
985	88480	1256
986	88600	1166
987	88709	1077
988	88836	988
989	88966	898
990	89068	808
991	89172	719
992	89266	629
993	89360	539
994	89464	449
995	89558	359
996	89645	269
997	89754	179
998	89855	89
999	89964	0
