iter	Logloss
0	0.6920113011
1	0.6910374584
2	0.6900388972
3	0.6890651817
4	0.6883778773
5	0.6877400061
6	0.6868890422
7	0.6858965394
8	0.6854449678
9	0.6849221007
10	0.6841290102
11	0.6835299947
12	0.6828667151
13	0.6823348393
14	0.6820172387
15	0.6816428441
16	0.6810044114
17	0.6804156875
18	0.6798884993
19	0.679486831
20	0.6792444967
21	0.6788853133
22	0.6786356095
23	0.6781187099
24	0.6776524038
25	0.6771929448
26	0.6767652579
27	0.6765667951
28	0.6760306271
29	0.6755238238
30	0.6753235097
31	0.674838006
32	0.6745923541
33	0.6743232833
34	0.6740732651
35	0.6739136174
36	0.6736810608
37	0.6733826655
38	0.6730855008
39	0.6728017178
40	0.672438121
41	0.6720910218
42	0.6719367892
43	0.6715351923
44	0.6712726668
45	0.6710404064
46	0.6708616785
47	0.670576617
48	0.6704661919
49	0.6702710865
50	0.6700650159
51	0.6699801886
52	0.6698428672
53	0.6695011289
54	0.6690981897
55	0.6687461015
56	0.6686960225
57	0.6683433781
58	0.6682335527
59	0.6681747017
60	0.6677907944
61	0.6672456314
62	0.6668797987
63	0.6668156099
64	0.6667077509
65	0.6666109855
66	0.6663336704
67	0.6660534546
68	0.6658244601
69	0.6657692252
70	0.6656574197
71	0.6653674004
72	0.665243979
73	0.6648961577
74	0.6647991297
75	0.6647569939
76	0.6644968141
77	0.6643919511
78	0.6643404369
79	0.6641101925
80	0.6640099858
81	0.6638421468
82	0.6636769106
83	0.6635738092
84	0.6634913979
85	0.6634531748
86	0.6634170727
87	0.6633672473
88	0.6631467874
89	0.6630575685
90	0.6629578647
91	0.6629047634
92	0.6626259759
93	0.662578392
94	0.6624140499
95	0.6623693829
96	0.6620987841
97	0.6620868516
98	0.6620210706
99	0.6618357478
100	0.6617243718
101	0.6617158902
102	0.6616579536
103	0.6613805001
104	0.6613616229
105	0.6613440613
106	0.6612645937
107	0.661130041
108	0.6611026744
109	0.6610933791
110	0.6610317192
111	0.661031719
112	0.6610233024
113	0.6608039134
114	0.6607772016
115	0.6607327165
116	0.6604080806
117	0.6603073353
118	0.660075585
119	0.6599863024
120	0.6597382487
121	0.659519762
122	0.6593976712
123	0.6593183513
124	0.6592619924
125	0.6592619752
126	0.6589137163
127	0.6588104402
128	0.6588075329
129	0.658472445
130	0.6583544534
131	0.6583544531
132	0.6580800962
133	0.6580800956
134	0.6579304672
135	0.6577707143
136	0.657674826
137	0.6576544692
138	0.6576144538
139	0.6571487252
140	0.6569048492
141	0.6568665465
142	0.6568456588
143	0.6568287322
144	0.6566487565
145	0.65649568
